Date,Q,P,Tmax
10/1/77,0,0,28.9
10/2/77,0,0,28.3
10/3/77,0,0,27.2
10/4/77,0,0,28.3
10/5/77,0,0,30.6
10/6/77,0,0,28.9
10/7/77,0,0,31.7
10/8/77,0,0,28.9
10/9/77,0,0,26.7
10/10/77,0,0,25.6
10/11/77,0,0,27.8
10/12/77,0,0,27.8
10/13/77,0,0,27.8
10/14/77,0,0,27.2
10/15/77,0,0,26.7
10/16/77,0,0,25
10/17/77,0,0,25.6
10/18/77,0,0,24.4
10/19/77,0,0,22.2
10/20/77,0,0,20.6
10/21/77,0,0,23.3
10/22/77,0,0,26.7
10/23/77,0,0,25
10/24/77,0,0,30.6
10/25/77,0,0,27.2
10/26/77,0,0,27.2
10/27/77,0,0,23.3
10/28/77,0,0,23.3
10/29/77,0,0,22.2
10/30/77,0,0,23.3
10/31/77,0,0,22.8
11/1/77,0,0,30
11/2/77,0,0,31.7
11/3/77,0,0,26.7
11/4/77,0,0,26.1
11/5/77,0,0.3,22.8
11/6/77,0,0,23.3
11/7/77,0,0,22.2
11/8/77,0,0,23.9
11/9/77,0,0,27.8
11/10/77,0,0,29.4
11/11/77,0,0,24.4
11/12/77,0,0,26.1
11/13/77,0,0,23.9
11/14/77,0,0,26.1
11/15/77,0,0,28.9
11/16/77,0,0,27.8
11/17/77,0,0,24.4
11/18/77,0,0,22.8
11/19/77,0,0,18.3
11/20/77,0,0,18.9
11/21/77,0,0,21.1
11/22/77,0,0,21.1
11/23/77,0,0,23.3
11/24/77,0,0,31.7
11/25/77,0,0,33.9
11/26/77,0,0,29.4
11/27/77,0,0,27.8
11/28/77,0,0,27.2
11/29/77,0,0,30
11/30/77,0,0,27.8
12/1/77,0,0,28.3
12/2/77,0,0,26.7
12/3/77,0,0,25
12/4/77,0,0,22.2
12/5/77,0,0,24.4
12/6/77,0,0,24.4
12/7/77,0,0,20.6
12/8/77,0,0,20.6
12/9/77,0,0,20.6
12/10/77,0,0,21.1
12/11/77,0,0,18.3
12/12/77,0,0,18.9
12/13/77,0,0,23.9
12/14/77,0,0,24.4
12/15/77,0,0,21.1
12/16/77,0,0,20.6
12/17/77,0,0,17.8
12/18/77,17,11.4,18.3
12/19/77,0,0,20
12/20/77,0,0,21.7
12/21/77,0,1.3,20.6
12/22/77,0,0,21.1
12/23/77,0,0.5,18.9
12/24/77,0,0,20.6
12/25/77,3.5,0,20.6
12/26/77,207,22.9,20.6
12/27/77,54,3.8,18.9
12/28/77,21,7.6,17.8
12/29/77,372,10.4,19.4
12/30/77,15,3.8,19.4
12/31/77,8,0,17.8
1/1/78,4,0,20.6
1/2/78,2,0,19.4
1/3/78,79,4.6,18.3
1/4/78,109,15.7,18.3
1/5/78,148,16.5,17.2
1/6/78,126,19.1,16.7
1/7/78,7.2,0,21.7
1/8/78,0.16,0,23.3
1/9/78,127,11.4,21.1
1/10/78,212,17.8,17.8
1/11/78,21,9.4,19.4
1/12/78,0.32,0,17.2
1/13/78,0.16,0,22.2
1/14/78,150,12.2,17.8
1/15/78,288,33,17.8
1/16/78,252,7.6,17.8
1/17/78,432,28.4,18.3
1/18/78,477,0,18.9
1/19/78,470,22.9,16.1
1/20/78,176,0,19.4
1/21/78,5,0,20.6
1/22/78,4.5,0,21.1
1/23/78,7.2,0,18.3
1/24/78,0.84,0,18.9
1/25/78,0.48,0,20
1/26/78,3.9,0,21.7
1/27/78,11,0,25
1/28/78,10,0,24.4
1/29/78,14,0,24.4
1/30/78,3.3,2.3,22.2
1/31/78,1,0,16.1
2/1/78,0.59,0,20
2/2/78,0.48,0,20.6
2/3/78,0.4,0,27.2
2/4/78,0.4,0,25.6
2/5/78,92,21.1,25.6
2/6/78,760,7.9,20.6
2/7/78,767,9.9,18.9
2/8/78,597,13.7,19.4
2/9/78,2130,45.7,18.3
2/10/78,3300,43.2,16.1
2/11/78,2550,0,16.7
2/12/78,2390,4.1,15.6
2/13/78,2060,20.6,16.1
2/14/78,2040,6.9,18.3
2/15/78,2100,0,19.4
2/16/78,1920,0,19.4
2/17/78,1320,0,21.1
2/18/78,1350,0,23.3
2/19/78,1000,0,22.8
2/20/78,700,0,23.9
2/21/78,400,0,25
2/22/78,200,0,27.8
2/23/78,125,0,25.6
2/24/78,110,0,21.1
2/25/78,150,0,19.4
2/26/78,125,0,19.4
2/27/78,125,1.5,17.2
2/28/78,600,12.2,18.3
3/1/78,4100,50.8,17.2
3/2/78,6000,19.6,16.7
3/3/78,4500,0,18.9
3/4/78,6330,47.8,16.7
3/5/78,6170,16.3,18.9
3/6/78,3960,0.3,20
3/7/78,3450,0,25.6
3/8/78,2660,0,23.9
3/9/78,2940,0.5,19.4
3/10/78,3400,5.8,17.2
3/11/78,3630,2,17.8
3/12/78,3620,30.5,18.3
3/13/78,2730,0,20
3/14/78,490,0,21.1
3/15/78,2980,0,30.6
3/16/78,2340,0,32.8
3/17/78,90,0,34.4
3/18/78,2,0,31.1
3/19/78,2,0,24.4
3/20/78,2,0,21.1
3/21/78,3.8,0.5,21.1
3/22/78,145,9.1,19.4
3/23/78,130,0,21.1
3/24/78,30,0,23.9
3/25/78,290,0,30
3/26/78,339,0,30.6
3/27/78,471,0,26.1
3/28/78,894,0,22.8
3/29/78,482,0,21.7
3/30/78,454,1.3,18.9
3/31/78,759,14.2,20
4/1/78,549,1.8,21.1
4/2/78,589,7.1,21.1
4/3/78,475,0,20.6
4/4/78,462,2.8,18.9
4/5/78,40,0,21.7
4/6/78,110,0,21.1
4/7/78,645,16.3,17.8
4/8/78,348,3,16.1
4/9/78,300,2.3,20
4/10/78,333,0,22.2
4/11/78,412,0,-9999
4/12/78,744,0,20.6
4/13/78,613,0,19.4
4/14/78,573,0,20.6
4/15/78,699,4.1,20
4/16/78,655,4.6,18.3
4/17/78,647,0,21.7
4/18/78,873,0,25.6
4/19/78,894,0,24.4
4/20/78,873,0,22.2
4/21/78,735,0,21.1
4/22/78,772,0,23.3
4/23/78,831,0,24.4
4/24/78,898,0,25
4/25/78,831,0,21.1
4/26/78,717,0,20.6
4/27/78,772,0,22.2
4/28/78,716,0,23.3
4/29/78,50,0,22.8
4/30/78,10,0,20.6
5/1/78,7.7,0,20.6
